gameid,gamename,nratings,gamerank
204027,Cottage Garden,2701,654
38386,A Castle for All Seasons,2700,985
69552,Panic Station,2694,2544
40270,Call of Cthulhu: The Card Game,2692,824
217,A la carte,2689,1381
117915,Yedo,2687,414
5432,Snakes and Ladders,2685,14343
119506,Freedom: The Underground Railroad,2685,297
196340,Yokohama,2679,138
131287,Panamax,2674,443
12495,Fire & Axe: A Viking Saga,2672,708
30645,Tammany Hall,2665,530
29934,Amyitis,2662,742
1042,Dragon's Gold,2660,1410
143185,Smash Up: The Obligatory Cthulhu Set,2652,943
66171,Dragonheart,2651,1220
65901,Age of Industry,2640,407
198928,Pandemic Iberia,2637,115
202408,Adrenaline,2636,517
2181,Bridge,2630,455
43022,Yomi,2624,700
18803,Black Stories,2621,2231
38343,Ad Astra,2619,843
141517,A Study in Emerald,2615,551
1261,Medina,2610,686
634,River Dragons,2605,1471
6351,Gulo Gulo,2602,892
95527,Madeira,2595,295
135382,Shadowrun: Crossfire,2592,569
13551,Oltre Mare,2590,1108
10653,Pirates of the Spanish Main,2581,3200
131325,Timeline: Diversity,2577,927
3737,Operation,2572,14335
128996,1775: Rebellion,2572,224
713,Nuclear War,2567,2134
57925,Havana,2564,859
81453,Famiglia,2559,1341
194879,Not Alone,2559,594
169255,A Game of Thrones: The Card Game (Second Edition),2553,254
875,Roads & Boats,2549,240
987,Kingmaker,2549,1627
134352,Two Rooms and a Boom,2546,716
168,Empire Builder,2537,907
23107,Drakon (third edition),2537,1391
99875,Martian Dice,2534,1737
73369,51st State,2532,853
12194,Munchkin Bites!,2527,2956
25021,Sekigahara: The Unification of Japan,2527,135
129051,Le Havre: The Inland Port,2522,752
37120,Pack & Stack,2520,1509
177524,Ice Cool,2508,845
200147,Kanagawa,2508,544
398,Wildlife Safari,2507,1213
142079,Space Cadets: Dice Duel,2506,862
40760,Alea Iacta Est,2503,1131
196,Kremlin,2501,796
21550,Blokus Trigon,2500,849
11901,Tic-Tac-Toe,2493,14344
154809,Nippon,2485,232
134453,The Little Prince: Make Me a Planet,2484,844
32116,Airships,2476,1519
201,The Rose King,2470,944
339,Quiddler,2470,2767
139976,Cthulhu Wars,2470,206
99975,Timeline: Discoveries,2467,1012
24827,Traders of Osaka,2465,890
10997,Boomtown,2464,1299
85897,Thunderstone: Dragonspire,2461,479
1544,Beyond Balderdash,2460,1027
185343,Anachrony,2459,119
67492,Battles of Westeros,2451,520
230,Merchant of Venus,2443,633
4192,Warhammer,2440,1301
466,Inkognito,2438,1309
17240,That's Life!,2432,1418
17161,Tempus,2431,1392
19841,Pentago,2429,1597
527,GIPF,2427,687
55427,Mr. Jack in New York,2427,555
